a,b,c,d,expected
221dfbda,9d716e22,241e7c34,229483a9,243ae8a1
24b9c644,1fe6207e,1fb91b19,a1f37f62,24b66015
246c07ba,9ce3931a,1ba80bf1,23b11c47,24a24a35
a165eb2a,232abec4,a316fada,a343da8c,a33e7555
9fbb55fc,9cf59bcf,225ef8b9,1e6f4141,2259ee97
a16f6c49,9b156adf,23ece773,9fa1abe9,23e4ca1a
22a8eb49,a053d71d,a3388012,1dd7f379,a2ce7d97
a033458a,a20e8215,9bdd6a2f,a1d87ef8,a282fe6a
9ba7784a,22664246,216183f0,a46b6d4e,a459836e
21139e0e,20969aec,9f493abf,210eb33c,21b0858a
2325cc34,21f6300e,1dbcfcb5,1d2ed392,2344b4c3
a36cc5cf,24eb3480,a11443d6,a12df18c,24cb175b
9fcb74ad,1c7cfbe7,24b541ac,a08900e3,24b4864c
2450e8e6,a23530c6,9dcc168e,9de7dea5,2445883a
1b0561e4,9cd11ea6,9da8f3d1,1e038980,1cb80a52
9c3f4f19,9f7ac897,20f5eca2,a3354b5f,a32e99c0
9fe85ea5,1e52a462,1ddbdeae,a4189ab2,a418fad8
a1c5b6dd,23def81c,1fa0723d,a27908b1,23b41c0a
1bf31f43,9e204ffa,a0253a59,a3da6498,a3dbc224
a1de5b02,1c380cd3,240e499b,1ec5f681,2407703a
1c5c0d35,9ec38265,a3f7e77d,a12cc6e3,a3fd7cdd
21c305f4,9e437be9,1f59f139,a44e0262,a447bfee
2084c82c,23cff21f,a0c747b2,a41cb8a6,a3551256
a4d27da1,211df0b1,244f214b,a063438b,a4544578
24b828a2,a0cabaa6,9ecf7287,23f7b9a1,24f53f58
2497e88f,22e253c5,220be670,1eab578f,24aa77b4
23a2f494,9fd998ff,204cea0e,24617c23,2499ab45
9ca5e5e1,243c6d0c,24cf2892,a49ea495,248eb9dd
23afe66e,22349294,a1487766,1d13d603,23c039a4
9dfd764c,1ef46cbe,9d70f615,9d13a369,1e847bfb
a29ed3a1,225cfea1,1e4941d5,24186a09,24126c13
a1101748,1d48ce02,1b1fc243,9b9becc0,a10f57fb
a08e768a,9e77aaae,a490d956,1e0d3e27,a4916b20
9f49bf7b,9b2a072d,a2ea631a,244ed326,24315428
247eb53d,9fa3c212,2150da68,20b4b1f5,24818815
1dc6e885,211aaf0d,a3ec7bf9,1f35d208,a3e73f29
228bcf76,1e674ecb,1c9ee730,22a2c9d1,23178b6e
1e0249e8,9dce9c6a,21a37316,231e34c0,2332a9e2
a32f717d,a027b85b,9b6f6abc,a0c42efb,a33832c6
243eb948,206caf95,1fbf3777,a3740a64,240302fa
1c16a68f,1c0d8bf4,9b307a61,9b075a49,1c563d58
9f4e4974,1cf4e779,9c45ad67,a268e2dd,a26c09c1
1b73a1b0,a46ec986,9e3c99bd,1b964581,a46ed4c8
235c65e7,23880bab,205894c8,a40cd749,a286fb28
9c7dd0a4,a19e5861,a33641d8,9d9f1427,a34a24be
a312146b,a42aa8d7,24355c89,21327c6c,a2b83bb8
1ed78940,1e4b1e0e,21aa3b54,2050bf1b,21c94798
9f45bed9,209714bc,a456f295,1f2b9551,a455caf6
a0c24c84,a4bba566,20e0f663,9d93244b,a4bb8909
a214669f,1be50dcf,216b28eb,24342645,242e8cf1
a0d6c820,228633c5,20cae71e,1c1cc0a5,22857a9b
214be0a3,1d983deb,225859c4,9edb6408,2284f3a2
1f88c92f,a29191a6,a4f231a7,2178e187,a4f936cc
22b1df94,9fb53ced,1cb2703d,9e742cd5,22ae9bb1
1cdee347,9e82d38c,9b84f754,21f89195,21f6b5b0
1bfbbe23,a30d7442,22004497,23fe42a7,23c79215
1bdb15fc,a4797971,9f405e0d,a46b12f2,a4f25e06
a4ce20b8,9f019de3,1d7456fe,9f369769,a4ce45d6
9c927a04,1e9d61f1,2172172f,a13f70ea,205d205e
a2781b67,9d76e49e,9c2b928b,1f3ba2a1,a275754f
1efcffdf,1edbe85c,23d1b1d5,23dab68e,24566f4f
a2ffebdf,20816574,24ed6b57,9f848057,24ddccde
a21f6c49,9f17d8e8,a0e64306,2341f01a,23124b17
236648df,1dccbf48,2237d98e,a437c273,a3e55879
a39921f9,21eb4332,1c4d0cde,9be54a69,a38a6d11
a34fdfc7,20ced0ad,235657a9,215256e1,21d09eac
235e2077,a3420a85,22d4283e,1bb065cc,23062b72
9ed38f9b,1f68bb90,a40d3bc2,9c9b0699,a40d1d3b
1fc046a0,a3d8ab5a,1dbe59e0,9b9e2073,a3d7dfcc
a04db76f,9e6cb961,9ca5de06,1e63c2f4,a04f9292
a3b856dd,2225f260,24a2e96a,21527112,24775050
1c7e1143,a00e2152,1cc5b07c,231bcc94,23199e35
9fc3e64a,1d5b03af,1f4db612,1b90b0fe,9f2b44e5
a2afb935,9b92bf74,1b62cd34,1bf4e00e,a2afb5e7
2053e34e,1c668645,9de93ce4,9e70431a,203e7bbc
222a9292,9bf2daf0,a2a3d201,9c5a04eb,a21d26a7
22319250,1c33a053,9d10b12c,1b67c65c,22317cfd
21b47390,9fe7bf17,9c5fbd28,246625ee,246b54cb
9de0bf56,1ca3a505,9ba8d9f4,a1a1fb21,a1a2bd85
9e513ead,20b294ba,9bb3a5d0,a0294c44,202e6f72
20aa37c4,a451bbde,9efb3fb5,1caa5dc5,a4508582
1c69a2f6,a4d8962a,1f85ef8a,9d4b4b06,a4d875d0
2343c4fb,1dc45733,9ef5e63a,1d07ab32,23436b0d
1bd021e6,a3fafd7f,a4eb3911,9fe497b4,a51518b1
9b45c48e,a000071a,24de16c4,a0035fd3,24dd94f8
24950af5,1eb00bf4,a0761ea2,a2934018,248b66e5
23e85da9,1d6a5d24,1ca7067c,24037ffd,2477b3c9
24679653,a154a97a,1fa70a94,a207c818,245c1ab1
1cd6aea7,1c1f1046,1ba7fb72,1b7c48ee,1d37df62
a153b181,1c8c95be,9c810bd7,1f03fc94,a14b6bf3
9fa63fc2,a0c72a70,1f241aae,9fe30ef2,a10a7d64
a29ef668,22f17b27,a3f1a29f,20378653,a3db9263
9b25a07c,1f44438b,24bbdf7b,9bbcd163,24bbf7c0
9d9812cf,213144b6,9f6034f3,1c620829,212249c3
9bb496b6,9ee30a14,2455787b,a2c35e04,243cefff
1cacfc5f,a0acd031,9c49ed23,a1e901cc,a20a11eb
a0523a14,1e019bce,a2bd616b,9cb4320d,a2c3bdb1
a0e49f40,1e613897,1b075d25,a0000ada,a10ec4fe
9e827f8b,22dd8989,228f8a5e,24af64c8,24c62dde
a18766dd,2412f881,1c7b8bbf,202bd6d1,240f6a1c
1c23ee42,231ab88c,9f423fe7,1f3db262,231ab68e
2195d135,a13fe7ec,9b945041,a35f8ea4,a358d425
a32973e9,212c22ca,a0c29b72,23ecd9ec,239a76a0
a3b891b7,24021baf,1f3a6248,1d97d644,231818ab
2380f35f,a2b28096,a4ab5448,1fbbfbf0,a496107b
a0de105d,9ccaf15b,9bea4b1c,1c865368,a0de8f8e
1bc6ca0f,9ca844d2,a2355017,9d9ab503,a235ac44
9b025deb,1e881991,2392822a,1bbb5dc0,2392a4ab
a1c376d3,1efde52d,9b5cfcf7,22a40897,22684e1b
1f51a4b3,213dd976,1e72217a,1cdf5fdb,214f2bf7
1ccca0d7,221048a6,9f70b20e,228fe2ab,22d63264
1bf84afd,200d517a,220b8095,1db6e54e,2214b8e2
1e45ae56,1ed566f2,9e38875c,1f6e84e5,1fae410e
1bd38805,9bf408c1,1f8f83a7,225dfb22,2262763b
1d53a5ed,1be13ea2,9e800cd4,a43e6a81,a43e76c3
1f4b74b4,a2c9f756,2459effd,23770e13,247ea774
a05d2074,202422fa,a2c01d12,24f8bc56,24ec9e06
1cd3d943,a3931fc8,a313a04b,a30d79c5,a411d4c0
20139dd3,21098d1e,1e94f52e,223b1fbf,2267e6ce
237a0641,9bd7534e,1d0c86d3,2113e9fc,2381a5fd
a1b44d4c,22a703ea,a4fcb418,1e165afd,a4f5105c
2067b471,a28c10e0,9b08b3c9,1cca6180,a284c7a8
9fa399dc,9b732740,1b22bef1,22ecb55b,22ea2653
a31cffe0,9cf18328,2255f76b,9fca9994,a2d23d89
9f5c3eff,1d74f254,1b9f3a84,a25be5fd,a25f14c3
1b78d353,a3a60dc5,24b4bc93,1b1f637d,248b3955
a40be78e,a26c5fb6,9d56f663,9dc0aafa,a41ab6eb
9bddbe87,1c0b5486,a32ccf52,230134ee,a22e67c9
9d8b495f,9ff2da10,208a573c,1ea43fd7,202b6f20
1b719139,9cc5aebe,9eef5ee7,1de1e6ac,9ec15d05
9be6ba39,a4944660,1b9ee29d,1d47cdeb,a49444e2
1de42245,a0a92eda,9ee6de62,1f3c9bde,a09c78bb
a4cea912,21d78b48,1e6302ee,9dacfcd4,a4cb4681
a19bd74f,9ed5b56e,24f1fd54,1b88d7ae,24ef80be
9e3e72aa,9e043d9f,2132638c,a0b30893,20a7a903
245e12ff,1b3c738c,9cd9fff3,21896021,24625c7b
9d6b285c,2046ece7,1eae9eff,207289a1,20e5cee3
1ca7f45f,9cdbc521,9c17f376,202a7af3,20297b5e
1cf47a8a,9c70f4fd,213408bc,a47d8a50,a47ab935
220a5fd9,237eb2bb,1d19fbdb,23cbd65b,242e4042
a190bcda,a3b124f1,1feb37bd,1ce9e861,a3b941df
9c4ae5a1,2227c9cf,1c8a9cc2,9f8531e5,2223a4e5
1cd137ee,9bb15a4b,9ea0d9db,21cc9f3e,21ca450f
1ca4e740,22bd7e08,1ff884b4,a1612cf8,22a544ca
9f779392,a3df946c,1d0819a8,9d706e1b,a3e01378
a0834c09,9b7b28ec,a2611706,1dd48d9b,a2711a2d
1b66b964,1f3d4997,21872bb8,9b19d89b,218d186c
1ba9b9e1,248f1975,a4c347fb,1eae3157,a3d08de2
9d0817d4,9e0f5d93,1e95ccb5,1b07700f,1df8a744
9bcae686,9c0bf876,245dcc21,9e4e3014,245dbe4d
1e190dae,a3e91be1,23843cbd,20cef430,a3432063
22826639,a3357640,1f957604,22d2b641,a11bd170
9cfede05,9b775631,a330e313,a39f4bcf,a3f7c1d0
1b925fbd,20455777,9b81e972,23087817,230b8d96
9fb05102,1e316490,a3bfb8f9,20a836df,a3bdb242
213641fb,20eb41f0,a3d09371,a494d913,a4c6a629
a1af3c96,9b86014a,1e830dd8,9d7dfe67,a1adb7be
a4f8c043,a1a9bdeb,1f556f0f,9ddb4a4a,a4fb4ffa
224c28cd,1ee39fce,a4e8791c,22b30fc4,a4d6d89f
9e38b4d6,a4cde428,24923d9d,1e89f78e,a3ee8ec5
9c04fabe,a228a2d0,a017d17a,2379d9bb,234d4fad
1dee2e68,1f0ac0cb,21cdb285,1da84640,21d39f00
1de6874c,2167656f,a1fa9f87,1e06070d,a184fa3a
a4cae6a7,20c107f3,1c32650e,1b3e0f04,a4ca252e
2455819b,1f39fc4c,21b25db2,9c5c478d,245b422b
1c61875d,9bafedaa,9d1153c3,24b8d449,24b8d36b
a4734b5b,a2e2035b,9e3e9c42,1bf3e249,a487cb9b
a2049d2d,9b94f3a9,240c6f51,9f1f1a12,2403fd6d
1ee5a4aa,a18708b6,9fde24bf,21279bc0,a0f61a3d
9e5d6208,1f9cbfff,1c57a13e,24bb1608,24bb36b9
1d6f2549,9bea7a40,1dcc64b2,a02b4c58,a021a1da
23ee2420,1f63719f,2385333a,1ea529d8,2439f92f
9d1b851a,1f851a6a,1cda4cea,a262a2ac,a25e8570
a3202824,2214cc99,1c787b0f,9fe49b53,a2f974a5
9b132b68,1b59556e,1f417c0f,9be026e0,1f4001eb
9b35f132,2105cbd6,9c560b76,1df633aa,2107775b
a4a7d356,1c7d518e,9d71b757,9e3ffaa0,a4a7dabb
a2cbd207,a2facac2,9d762c97,1f035e99,a362da69
2176a241,9ebddb48,20f79168,2453f72f,2459a91f
a4c2a5bc,9d7469fb,20a5f7ca,a167e0f7,a4c3d16f
24f41c3a,20b6536d,a062dd77,a0895c61,24f3d7c2
9f50007c,1e1cdcde,9e691628,1d226453,9f58e889
9ed8384f,a306f2cd,1d1be3e3,23f7b09b,23b40606
1b5784ab,1b014b62,20209f39,a0ccf19c,a078edcb
9f86581a,1e49de97,2482625b,9cb3d712,24824660
1b7c500e,1d435f14,1cea17ad,1cab8191,1dcef85a
22db9e01,9cc9e14d,9b36fa06,207bc748,22e36e2f
1cc6ca8e,a4191af2,a2c3895f,9e6598c5,a43198ea
1de9bfc9,1cb6dc2f,a0cc54a9,232fde17,23299e61
a2b830a9,21b5a941,a2d01d94,a246860d,a35f137a
a3a0d989,205b2928,216e7e68,1ba7265a,a397ae9c
20eb571f,a39cd0bf,20a8f7ad,236733b0,a28b96af
9d173224,2008bca4,9f257e8f,21c6e5f2,21d285f9
a1079678,1e5ef50e,24200395,20c5a48f,241f7e74
247f1c16,1bcebc29,a4cbbc01,9eca1d81,a41874c8
2397ad64,216206cc,9e649c52,1bc94cdf,239ea1d0
1b85db21,9e680f60,1b0a6375,9c42530a,9e6ddc2a
20002a8f,1f2d3482,9cd89a9a,9d9877d3,202502bc
1ea820ed,1c845bf1,1f0f515b,9ca2009c,1f6274ac
9e7a8b0c,1b4e57bb,1efd1a6b,a27a2bac,a27928c9
a4146884,a0d2f85c,2187e4f1,24175cf3,21b1b4ba
2295f153,9fe2b57e,20c6ff01,a008d4ba,229a8fc7
9d143c0c,1c186610,1fa7f525,9b4ea919,1fa41cbc
a2a812c3,241aec47,a4866bac,9efd3826,a4070d10
1f88b821,a2a4a483,216b610d,a2552a95,a2efaacb
1e8a814e,24b052a6,9d56c5b3,1b9ee4dd,24b059c8
1f04d9ff,20a6a0e7,1e622d85,1ea7cd5d,20c8ca69
9d4e299d,20dad2b4,9f82d37c,1f9bf315,20df7e47
a361be78,225bcbd9,2279a57f,a4048f20,a41fa7a8
222383b0,a4247590,9dee0ff7,1d1a792b,a41a425c
a29923d4,a06a1613,a004f778,1c946c29,a2a492fa
9b688938,2219e31b,9f891446,1d8c0096,2215dcd7
a3efae1f,9e6343d2,a41f1a6f,9b2f6d0b,a48b7fef
a2ce71b1,21734451,a12f731f,a1f9ee8d,a3023997
1b0067d4,9ed14166,2359feaf,24fa8bff,250adf68
1c46e501,9e0df792,9b6a5a76,1f2d25a4,1f0bd8f9
a02adad2,9d1d2da5,20903b12,22f238ac,22f5d1e1
a22a9d7e,249c7193,20ad44d9,1d583390,2497cb9c
a36cf585,21765b0e,21540216,21f9af94,a33119c0
9b4db15e,1eed141c,2276c38b,23bcd854,23dbeba4
218a59d6,a36bb4ac,9d135d4c,20967537,a355befd
9ddc8dbc,9f3d336f,a3779e40,1e494ec9,a37844b1
1f77b283,1b48e227,9e871a22,24875d5e,248773fc
1f07e305,a10ecb10,2290ae85,2195a1ea,22a54d64
9d90b2af,1e442254,1c373276,23bb2b93,23bb3c7b
1c3d8df5,1bb75b9d,22085f0e,1d10ae69,220894cd
a4d3c323,9fd43cb8,9f0640e3,24eff76f,235f73a6
a09017ad,24b77162,2441aca0,9c448279,250bdb9c
a4938cfd,1be4b1d6,9ec9b400,24368470,a3e15c9c
1e3909a7,1f157d61,9b0357ae,9b140494,1f42a86e
a05ab7cd,1fb4a666,24edc189,24208832,251ee2b8
1fc92f55,a2ae3451,a3f98c50,1e416731,a4121c04
9f45e67c,1d923509,9b9cc59f,24f600bf,24f5ea24
21545ef1,1d11ed87,1cd32427,a11d8fe5,205f2a2e
218b0308,1b34cd9e,9c34a183,236a2b5f,237b89a2
a34b178a,9ef64627,9fbeed91,1e340654,a34ce387
1c5b69b9,1b17eff9,20683409,9b99310e,2068e8d6
21f9ef88,9c97bf5f,a2793b43,9e115a9e,a1f9cfa3
9b10b80a,23b46068,1b80ae30,2232d9d6,23cabbdb
9e31889b,231712ad,1e9d9ab8,9c5d3113,231731a3
a453ef5b,9bab69cc,9ee479e7,1da9d8f6,a45406f1
9e12c031,a042812a,1dccf090,a4969b64,a496fe07
1d4a881c,1f1543c0,9bb3dd5a,1b36c792,1f213b4f
a34663a7,1bbcb8cf,203fd3e1,241f4310,23dcd4b1
1f9134a3,1c03c50a,2316b0c7,1c62fa10,2317d8cb
1c914338,23f8408f,23c69dd4,9b4049b7,245f7024
21f46da7,23c67db2,9c339ab6,9cac36ec,23d5c074
a0436ae0,9bc7e322,1f3e7729,9f14b24f,a0395d9b
a4128c41,a0b1fc3b,9ba7ee21,a0092f37,a41479bd
9b0fe599,1c0f15f5,1ef065de,9d1f635b,1edfd257
9ca2d674,1d93436a,24256a11,9f10812d,24254945
9b9944e5,2229c7d1,1e44d30c,1de54c9b,222afa80
24f351ec,a2f65549,a3683081,1bc386ef,24c6e6b8
222f9eae,a09d1408,1d0cb854,236119a2,238410bc
a4db248e,9bd2989d,1bc6f1a4,9de484f6,a4db2823
9eb1e4f2,a170b355,a184c0ee,a40437ec,a40c36fd
a0056ccb,1ee4b2eb,1b16a5df,2009f066,1f04fe87
1c0bbdc5,23809f7c,1f5ff160,24fef083,250f9a53
1b9896ce,9ee59501,9c891eb6,9fa52093,9fe011b7
1e5e10fb,2442dd04,1ff3f21f,a0e5182f,24419aae
9d005f6c,1cc04eb3,1ee3c3c5,231bc9fa,231c39d8
9d22867a,1da149ed,204bea46,1e73b977,205da613
a005ad68,1e79c7ac,9bb872f3,1cb4f936,9fea0669
1c2b29be,9ba9330c,1e4473ff,1faadf4b,1fc41aeb
9dc97c47,9fd87ed4,a4a99b62,1dbf0f17,a4a9d1ab
9b70840c,216e8d01,a0eacebe,9e70be2b,20eaa742
9f205662,2260357a,24b47697,1bc23f66,24bb6469
21e4c3b6,9c5602ed,1ebc69b2,9c111e51,21e78879
a1ea3d95,22e2aed1,22f9a7c1,20bb6873,2356beda
9cc18dcb,1d4e87f8,a00913b7,1d25d630,a004c55a
248c251a,1cab37a4,a013860e,2280de04,2493e9e2
1dd72b87,1d0e0986,a1d6e805,9d1e35c8,a1d618f0
9f3a908b,1d71dfb5,1d6a6a3e,1d2b17a0,9f121a72
a13310aa,9ca9e272,1d0125bc,9c28ffd7,a1330eb5
1ed06a62,2451559d,1c5c0e11,a1a3ed43,244c511c
a1e7c1ff,24c58a8c,a3276401,9b234d15,24acfeef
9e0e5a87,21a8599b,20fb37d0,a3113a98,a2e8f27a
a1158d0d,a1ed35d1,1f85dcf1,2202cc2f,a0a818aa
a2ff1e3c,1c3749b7,23fc9cac,a345b1dc,2333fb3b
9d0479a7,1ff5ff7d,9d6140f3,1cba47c4,1fedbac7
9ed22233,9c65a0c5,239bc085,1b51fab3,239b8a9a
238b7f03,a2d90ef8,9f046b77,9fb1e6f8,23288e51
a0aad07b,9da94391,1f676296,9f4c6169,a0aa1564
a305c07c,1dfad27f,a0c1571f,9bfcc52e,a30badd4
24530310,213a10a0,9d637f0c,24aa4dfc,250aa0ef
a29e89ff,1c29340e,1be4d76f,9c9b87a9,a29e8ada
1ea31c6c,2460dcb1,1c638e98,a066cc40,24600b2c
22900e00,1d251654,2265d379,a004c47b,22fee63b
a3e54ce8,a3dd3be7,1b576b86,9f5468ea,a461794c
a0011094,9e4fb0e9,22caa9e0,a0669c7b,22bf049f
9b3fa696,a2f01ce8,9d283262,1ec22427,a2ef7149
a14c28c5,24eb60ba,a03eb899,20b67fdf,24ea1f8c
1de9e634,23a57d08,1dfd1bf6,9f895156,23a51227
23491b65,9ed5f2dd,1d4cfec1,240298c1,2434c810
1cc7126a,2294f844,21e696c7,1c06e8ef,22ceae9e
1cc816a9,2188a446,24b22ba0,9f5e721a,24b4332b
2440df9d,210396ff,2222eab8,a49c07fb,a3d5e6a3
1c125034,22f6c955,a30bc3cb,1fd03a67,a16bc627
9d4013b9,1dd11fb0,a360b685,1be738c5,a360a694
20ce3a3b,a0028c89,1edce332,1b5f479d,209ade13
22093725,a28b2a9b,223efdfe,a02009b7,211f7d46
1b59da81,20206d29,a32ffbab,23e66326,238fa698
1b295196,9d4aa3c5,21a64832,1c68e702,21a60548
211d74ac,9e8ee50c,23e29ed5,2180bbb1,23ef727c
24d730cc,a06d94b7,1e646153,a4a88cdb,23b8d127
1b411cf9,1fac4aee,9b26e773,9be0bd7f,1fab774b
9e154b1c,1cccfeeb,1feb347b,a21a0e58,a213305f
230bc368,20c91579,9f8f6b29,9b063426,2310ecb7
1f9c986a,1b86e7a4,9b825d84,a4df0b22,a4dee3fb
22c62fee,a3e13b03,a221e15e,24644052,24024ab8
2226c944,1f9474c4,a48a81d8,a2310841,a48aaeb3
9dc04ba8,a3c8dde8,9c881d0e,238b8e1c,a2f577c5
1f471f5a,1cbcb67a,23f48b55,9dbbb3ea,23f4e61c
9ba6eab6,a0644d3d,a47b6f3d,a0130689,a47ce6e4
2382fbec,9f9542d4,a0925608,1bb14c09,23801e02
a35203c1,23a74bf4,a0c6fdb7,1cc78b6d,22ecc4eb
a19cdaaf,22c39955,9fe5f4c7,1cc64dc2,2298d73b
9c4c891e,1ca87080,9d8cb9a1,1eb0e244,1e91d69b
1ffc646e,1d343f64,207ef02f,a48ea9d3,a48de9d9
1d79698a,a2741727,9b7d2cc6,a189bee4,a29c5e1a
a13c9417,a22e6370,21aace3e,226dbb7c,21cb344a
235bee5f,9c902b82,a4c44f7d,a05d2534,a4a940d4
204139b8,a318ae15,9bfe9e4f,9c771c2e,a315af08
21e7cef1,1e3f035c,2049f9eb,23ba6be5,23ca94a8
246113d2,a0aae1ba,9d4a31c3,1e64d002,245fc933
2336764a,22448f3a,23bcb3ec,a115bdf0,2415e984
9e0e4bfd,1e1c27bf,210ba220,1e543b9e,210f2a7e
9bcb82e3,230dfa76,2273685d,9c02185b,234ad0ee
a20300e7,1d628296,a2bd9226,24ffeafd,24effb98
2113a3cc,9b23fabd,1b07e66e,22132a95,22381318
24c27b44,1ef1af61,a2aba9f6,a2963aaa,24ae6c15
a4f2e83f,9c8f1c7b,a442c5a3,21bfee75,a528a5f3
a34fbb83,230d080c,205a8fe4,9d6b3e0f,a27d5fad
a11235c8,9b0dcdb7,20b933bf,1b595ff1,a0565cbd
2110718d,2033f807,9cedab39,a4f3b8a6,a4f23eb5
a0e0b922,1bf367bd,220edf28,1cbc0d45,21e5ce41
a0caadf2,9bee1af5,1efba1a7,2275aee5,225e48f9
1be6ce29,a4283221,a3f50bb0,9b62bdac,a4915bdf
a35e1a86,a3a305e9,1fdd0afb,245a0cf4,23a2e3c7
9c38fc83,1fd257a0,a3b846dc,9cc5de7d,a3b7790e
a343dfac,9f81f186,a0753f26,1f9b832f,a3478185
a437a37f,9e215c6a,22648362,21d894bd,a422a0b9
21cbc7a0,a2daf41a,1f1714f7,1b2e4e4a,a2a6d2ab
1e25e1fa,a3078b0f,a070dfaf,20ee6498,a303b1f0
9f900523,a073e825,a3041111,a3a9e95b,a3ee69b9
9bfaea57,9c905c8f,218c3a2f,a319d29b,a30851ce
1bc62e49,9bb1762f,a3a90a4f,9f4cab8e,a3a97090
9ee232f1,1d99518f,239d8089,1ccf05f2,239d54cd
a4b169c3,1ec663fc,a0877d44,24c8854f,233503a8
a4426a95,22440f6b,a46085f3,1b3bf471,a4cb57b1
9e38950b,a10033b2,9cde2fa1,1f891c90,a0e4c318
a151b58d,23f3ae0e,1ea1546f,9de6d97b,23ed3a49
9bdcf351,a0546586,9d5e5f0e,1d22a463,a055c2ea
a31e4fec,a2be1fbe,a399f73c,1fe7cedd,a40bdfa9
21030914,1c5b4332,22142fff,1b3d9950,223502ef
2456579d,1e1088f9,22a793d6,9ebd4d4e,246b3b77
1d68de38,20ec5034,22f2e20a,1d17253e,2300eb87
219b7e48,21d89fcd,1ff5fb4a,1b4a0cf8,2241c20d
a348af7b,a1298369,a48f043c,1c639c00,a4a96cc0
1e71032d,9c98f878,24a182bf,226e0349,24a8f9c8
9ffa41f8,9be8ebdd,1d6e3676,239edba9,239de7f0
241a8401,9cd1638b,1cd899d7,1e247c6c,241a8e57
1c8c497c,1ecb2fa3,2260b56e,1cb79a15,2262744a
a1ae8abe,9e91de54,21809c7f,a40e9801,a41019af
9cde9d1f,9c594559,a1664b38,1bd6e6a8,a166d5fb
9c859858,1e6106d2,a2ad8520,1e59ac01,a2acb020
a0bc4e6d,a037faa9,1e292a5a,22f1b78b,22e08764
1b257715,9c7b1847,9d446688,9d96aa1a,9e098a57
1dc90484,a002e643,9bee8aa8,9c54b25c,9ffbd42d
1d07cb98,a0ae8838,221baa2f,9c4c7641,2205ee54
a35c9f46,24b646d4,9c8bc529,a210a048,24962d5d
244a0786,a1a43f0b,a060ab30,1c3a9f03,2444059d
9b381b6e,2192b6b5,1bb38cce,9ce7c900,2192823b
24eaab8a,9ff24650,1f85e446,1e16bdd5,24ea9527
1b9666c8,9dd17bac,a09cc588,a4f27230,a4f31216
1bf9f75a,1d04c184,9d89082c,2408f9e0,2408f828
a2cecde0,a2fdcbae,a0120c85,20de0558,a361a4ce
1d5f4638,238f1e9b,2420bf16,20f9c3b3,246a4568
21b1336c,1e1b34cb,1c5be0da,a346510e,a3300064
1d7e3077,a351debc,9bb6d9e4,a1a5cfc9,a3668a40
226ba0e0,a020d8a4,9fe6a63f,9c0d02f2,225a5554
9cf99107,a4389108,1e354a8d,243f1240,21d15331
2354008d,24e0ccde,9e391883,2009454b,24fb8bca
9c8d0d80,9b6780af,1e339d2b,9d128e26,1df373de
24acd224,1bfceec6,a2430d4b,a259611b,249feef0
a4958ac6,a2a13a1d,9ed3063c,22709966,a49826cd
1ea884d5,1bd97fc7,23e14d1f,a3bbc527,2296cbcb
9e88f0c7,1ee7bd9d,21d2dbbf,1cdd9699,21d48e58
1efc3cd8,9d5a04da,9cd29225,a3bb855d,a3bb5068
a1c028a8,9f5b8cc7,20347182,9c6c1131,a1b09460
9bd42ff4,9e7faed9,1cd306f9,1d9c7eda,9e1db00c
9e4086a6,a080c437,a0d80054,226ee6ca,22430db2
9f1eef8b,1f97908b,1f082270,231cf654,231e0ea8
23afef47,9eb7de77,a2d27251,9b78774e,2376487e
1d2fede6,a044eeb7,1ca6125f,a318417e,a31b4509
1f06876d,9ba1f225,a31aaeb7,22140ee4,a2ea4b75
9e31ada1,1c8287f1,1ca9b574,1f3c0bb1,1f190234
2385dfa7,22d11a33,a076f93d,9d37b44b,23b83284
a3040238,2378e820,1ef4bd78,200b3b9b,22ef1a6a
206b3020,1d468907,a40c28ed,24998220,2427c99d
201ef072,1d14c0f9,206a17a3,1e35b3bf,20cb5b2a
1e3ab7df,221c011b,9c2e1921,a3b7577e,a3a3c160
1f242fc4,9e008aee,a4f0bbfd,21b3c933,a4eddc57
a1ee9c7b,a36981c2,9dff0cec,9e6b9c52,a383d80d
1db8f79f,24b26a66,1f7ec992,9f5c7fe5,24b27193
24606e41,a15c8c33,9b20df6b,a1b1c517,24576dbf
a2a23be3,2251bbf5,23ffc1ce,a448d749,a3a0443e
9c47436a,1c52e087,1e83c4cf,249a2f19,249a375b
9bd2499f,1dca1da7,1b0ad54a,23245873,2324709d
a2f0f28f,1cbaac7a,1dc450e9,1f457567,a2ef2ae5
a3e7a216,20e976c3,1cc8324c,22597f02,a3c8c93a
1e543cfb,1c688f60,1e5509ff,2119dac6,2120ba06
a27004a4,a258eb0e,24039c21,a4e1c563,a4ae3ed0
a3f7e06d,a3101741,a1cf584f,9dd34e00,a4267764
218aa077,a41a9d15,9bda95c1,229e14d6,a40285e4
9ddbf55b,9bfeee40,2490cb08,20c93fad,24919098
1eb61788,9b5e3972,1c8c2d5e,1ff42284,2011b4ff
9e0fd456,2438d5b5,232d52f4,9eb85cc5,24640a69
1c5e87a0,9e508857,9e550ff3,207fcb12,20665015
21639808,1c2b244d,9ce758b8,9b9bc043,21633bad
9dccfdb8,9eedd866,202ceac6,9c0b8f69,20083c3c
9ed28495,1d840f5c,200a051a,2499d9c8,249a13b3
a0aed628,1c9fe71e,2065b53f,a0058d24,a07c4467
1b42c098,9cbe9754,2377048d,1cb8efeb,23770523
