a,b,c,expected
2d30,6922,6468,653d
57c2,2122,4ddc,4e2c
1e08,eaa4,003b,cd02
9537,7069,4a6e,3d70
b858,0d0b,4ae5,4ae5
7f46,8e46,ec76,7e00
b383,69bc,95ac,e162
53ee,dd5e,77b1,70be
f131,4a66,40c9,fc00
1baf,b416,ec59,ec59
a1d6,fc5c,9f07,7e00
cbd2,8d1c,6eaa,6eaa
a934,8f85,32dc,32dc
aa17,1177,eec9,eec9
69f2,ea7b,d08d,fc00
0c33,2c45,c903,c903
f6b9,9773,0ece,5243
7d24,d72f,9979,7e00
8c26,615b,0641,b18d
2e0c,cec1,533b,52e9
69f9,f97d,31a8,fc00
571f,b5b3,3e84,d0df
4ec2,a141,6e4d,6e4d
28f9,d6e7,40b3,bfc2
4f7d,b3eb,e6b0,e6b7
e01c,6def,bea5,fc00
3d45,67f1,a2e1,693b
8e87,d8ba,c036,c017
2b6d,5a01,6599,65a4
df3e,c810,ae3a,6b5b
d057,4cde,8f0f,e148
3439,8abf,6e31,6e31
82d4,a4e5,2499,2499
a510,9f71,342d,342e
bf69,637e,49c3,e6e5
0531,69aa,f875,f875
7aaf,d3fd,ca43,fc00
30fa,4992,b6e5,3d35
eb98,b8c7,a491,6889
7432,9b91,2d6f,d3ed
deb9,a93f,10c6,4c69
a5b8,e890,b43a,527e
46c2,1fd5,b88e,b824
ecde,8463,5c19,5c1a
7daf,d20d,f879,7e00
c5d0,c108,bc06,4acf
47ed,9ada,e4db,e4db
0eb6,a18b,9b90,9b90
65c8,206b,8deb,4a63
df87,ab5a,f27b,f278
1ea9,35cb,73a4,73a4
1793,3b00,fc08,7e00
ed6e,1f17,0c7c,d0d0
c4a1,9023,4c03,4c03
019c,6c56,21e2,21e2
2b8f,8f07,225a,225a
5f26,8439,f48b,f48b
70ab,d103,5dee,fc00
2018,20c5,ca42,ca42
a1a6,4475,db17,db17
ffd4,2805,4460,7e00
3047,7ba0,11af,7014
dbc2,b17b,6701,672c
1a25,9327,8037,0000
5a66,3466,88d7,5309
e014,6e72,d8d1,fc00
a122,3aca,47ca,47c8
4342,d0bb,9496,d84b
37c0,38be,3996,3be2
d0d5,a77a,aa29,3c53
85dd,3bbf,3cc1,3cc1
acf9,5250,1028,c3d9
3971,4013,4408,456b
a338,b67b,4cca,4cca
f790,2e4d,6ed1,6bad
b811,02eb,eff1,eff1
a93e,bec7,9b5c,2c36
43c7,bd19,0ddb,c4f5
7fc7,f0fb,7153,7e00
4aee,8bc7,d9cd,d9cd
c70c,ea76,07e7,75b1
2190,e972,f919,f91a
7985,5150,6783,7c00
6558,7e06,a910,7e00
8cfc,dbfb,4755,4769
aa7f,e575,8e5b,546e
5b31,277f,4005,4860
959d,e249,25f1,3c81
9437,8f26,4d8d,4d8d
2335,d0ed,d9e9,d9ed
0c15,b9b8,2c28,2c25
c359,7f09,6901,7e00
9dc2,782f,9f29,da06
89f6,e88a,84c9,36c4
3e8b,69fc,a28d,6ce5
9d1d,dce8,253b,3e5b
11cc,0a9d,fe25,7e00
fe4a,8d40,5fda,7e00
b4ae,a426,97ea,19bf
d1b0,a9e4,2648,403d
c439,99ef,5b6a,5b6a
d7d9,6a58,f710,fc00
b485,128e,35fc,35fb
f7c2,8a5e,c09b,43bf
d0c8,8bfd,47ab,47ad
51f2,3591,9def,4c23
79e7,189f,e4d2,e465
17fe,a5c4,0eab,0eab
bc45,033e,f3cb,f3cb
b539,99ae,357d,3581
17e9,6e90,bca6,49e8
57ba,fd86,853e,7e00
a874,aab8,5dff,5dff
b0ca,dca1,8734,518b
b3c1,c1cd,7751,7751
cbaf,5abb,e62a,ecc6
00c8,fce6,4203,7e00
16ef,b4cd,554a,554a
7a5d,52e7,736a,7c00
595a,695c,ffb3,7e00
cc9f,0e70,a4fb,a6d7
ccdd,5b59,465d,ec75
4fb2,9189,dd8b,dd8b
07e0,fbe1,f3d1,f3d2
a0a6,83cf,f7ec,f7ec
51c3,9c89,435b,42f2
4f68,00d1,b2ff,b2ff
2648,00d5,5709,5709
6d67,9696,9cea,c874
63cc,6ed7,f58c,7c00
012f,dc6c,db58,db58
672b,5fee,c35c,7c00
4fcf,c73f,1b27,db13
2d85,8877,1747,1747
4661,7cd1,89aa,7e00
361f,53b0,8949,4de2
f4e1,66d6,6a7a,fc00
fc92,4d53,d233,7e00
10b3,d121,b0ba,b17b
e1e5,2550,1c6b,cbd3
3c7d,8304,2ec1,2ec1
c728,b421,1db5,3f69
8513,3ded,60b5,60b5
e4ee,af41,f55b,f552
2091,942b,2f66,2f66
072f,91f2,4322,4322
27ce,cf6e,4526,443e
3fe7,57e6,7f02,7e00
9212,2ed6,a8d2,a8d5
0b7c,5d91,efdd,efdd
1ce6,9552,0804,0804
d936,af0c,18a1,4c97
20d7,0311,9b43,9b43
0663,37c7,dcaa,dcaa
37c0,28fb,2ea8,2fdd
0c25,30e3,d7a5,d7a5
938c,567c,1d15,adcd
811c,adfd,fa88,fa88
a7da,096d,466b,466b
1c43,2467,6d90,6d90
e4f5,76a4,18bf,fc00
6ec2,c283,fd27,7e00
dc8f,fb8a,6ada,7c00
a019,ecfa,a7fd,5118
be5e,8f61,12c7,1653
3a66,18c0,197c,1ca4
4401,eef6,965a,f6f8
c42c,a3aa,9002,2bee
3ba1,df4f,25c0,def8
6e3f,7486,3522,7c00
2915,40af,1f9f,2e6d
b919,c477,5705,5733
5cad,4db6,79ca,7aa0
cfde,9e75,03b6,325a
9154,8ab8,bef2,bef2
fad5,e078,d23e,7c00
0780,2694,55ec,55ec
1913,23c8,7bda,7bda
981c,972a,0ee0,0ee0
b2ac,acf3,b940,b91f
9282,595f,fa13,fa13
c450,3524,5125,50f9
35f0,a9c9,32ea,3261
0f2c,82dc,bea9,bea9
462d,7c3b,4e5f,7e00
4f0c,7a1e,c97b,7c00
4143,8e73,143d,0000
ebb0,dc91,7b4a,7c00
a169,4834,7191,7191
f632,32a8,a764,ed28
33e0,fb64,0ac2,f346
45c0,c452,a97a,ce39
7a85,3dc9,73a4,7c00
070b,e7eb,2050,b2b4
7ada,da01,3d34,fc00
eb98,9afa,69ed,69f4
54eb,ae9b,0bac,c810
1c24,32e4,d690,d690
2144,f437,7c78,7e00
8939,c4d2,7f03,7e00
4066,39b6,9330,3e47
02ea,3825,932c,932c
0e6b,ad9d,64df,64df
8bf8,d524,06b7,2526
c89a,541f,6ce9,6c51
178a,a9e8,36f9,36f9
9e39,554c,fea2,7e00
1c10,ed9d,06fd,cdb3
7691,66e4,b8ef,7c00
6d1d,7959,3576,7c00
380f,724a,ebb5,690f
8103,477e,d968,d968
558e,d9cb,b79a,f406
5fef,fe03,bba2,7e00
66fa,1c54,dc3e,dc20
0063,0f41,3af2,3af2
8926,1f9b,cca1,cca1
13a0,2cb1,b5bb,b5bb
4147,a547,6afb,6afb
f429,08f1,c555,c7e7
2c5a,2c1b,f1ca,f1ca
7a9a,6e76,c580,7c00
25e6,80db,735a,735a
9907,a878,3c2d,3c2d
b517,6c72,0ca7,e5a8
f1b2,c4f5,f9e3,70b0
9d76,3117,4ee9,4ee9
dc15,1ac9,0043,baed
2687,e2e6,5c39,5bbe
7e0e,d507,07dc,7e00
e6a9,65a6,4bfd,fc00
5df2,0122,98a8,98a8
de2f,f5cd,0e5f,7c00
cf46,922b,0160,259c
c4ef,4722,911a,d066
7dc0,c645,6efc,7e00
fc41,8d46,d1c7,7e00
0bbe,03ec,b9dc,b9dc
174f,191c,881e,881e
49bf,08d5,6eb4,6eb4
06c9,7e43,8c18,7e00
1ef7,fd74,898c,7e00
4150,4ba7,a3c7,5115
db56,d386,a29f,72e6
e517,3300,2a6e,dc74
2a2e,9ffb,e6b2,e6b2
ca23,8b9a,8cc5,193c
ea29,41de,434b,f085
8659,4758,ee43,ee43
e845,e1f8,606d,7c00
657d,d18c,0d98,fb9c
a15e,e615,3df4,4c74
0be2,cb14,df8e,df8e
dec2,19a4,4e2c,4de0
d399,a7f9,606e,6072
70d0,66e5,ddb6,7c00
44b1,aba2,b6f9,b9ba
69a8,a947,d773,db74
800a,3cfb,7357,7357
74ea,be87,e8fd,f852
a635,c5dd,6080,6080
9ee1,8e13,d063,d063
8121,9638,1ce1,1ce1
268c,b47c,9db5,a286
6734,ae33,4a85,d92d
e723,7298,e55a,fc00
32b9,2eee,20b6,2817
c15e,4e02,571b,5226
6579,6ac3,15d0,7c00
32a5,4b21,5153,51b2
ec8c,706e,9904,fc00
af7f,34bb,4f57,4f55
5972,ed65,5d10,fc00
d6b8,371e,ba5b,d213
59c0,16c1,0da0,34dc
0767,0b5c,0583,0583
1551,2d36,a797,a790
cf9f,9548,6c2e,6c2e
228f,5894,a15d,3f77
3942,5b60,ef9e,ef77
4477,73ec,418d,7c00
0285,7cc4,319c,7e00
5db6,5024,48ba,71ea
f1a3,2ad4,e5cb,e81a
7c6d,e8ba,79d6,7e00
f44d,e7bf,07aa,7c00
f575,c329,9949,7c00
ec7c,9d3b,f3bd,f3ba
113f,d9da,bde8,be63
7b39,2201,e14d,4bc0
7446,29d0,7d77,7e00
6fff,52d3,4007,7c00
d6b7,67d3,30a3,fc00
5fc4,b30c,d526,d9fe
7965,2850,fb05,fad6
e512,b398,4b82,5d0c
5668,8734,ce1b,ce1c
bb99,7c2e,9d87,7e00
fb38,dff8,5636,7c00
4bf9,244e,7e00,7e00
82a7,1c16,94e3,94e3
b1b5,2d29,4fcf,4fce
73b1,3503,ab07,6cd2
7aa3,0009,be73,be73
b09d,3b63,ab0f,b206
f49d,d93f,ef6b,7c00
14c9,d078,288a,9e78
e2a1,becf,de36,6416
1d52,27eb,7503,7503
85b0,802b,9c9e,9c9e
f32f,f562,7061,7c00
ee19,2766,6ec5,6e98
9e60,68ee,d1da,d3d1
4a0b,ba2c,e587,e590
2008,1600,3584,3584
8746,c4d1,4c35,4c35
1267,7897,0999,4f59
e009,2bbc,3227,cfc1
9a2b,336f,210b,20af
1bf5,af15,0a9a,8b7c
51c2,6a51,9cc4,7c00
798d,3b98,dc33,793d
aede,ddd4,256f,5102
5d75,a43a,6125,6119
2fef,0b13,1f4d,1f4d
df13,33b7,7364,7356
906d,b61d,086a,0d97
53f4,a928,0f53,c120
7b46,a73e,57c4,e61a
9c5e,8f1c,0ece,0ece
abd8,634c,e6ab,e6e4
7dd7,f84e,c7d7,7e00
04f9,dad9,f152,f152
6838,ab97,3092,d800
f2e9,b410,b96f,6b05
dac4,24bc,9e83,c403
28f7,2895,72c9,72c9
ecd4,88d8,bc05,b462
7a9d,bb5c,464a,fa15
258a,46fa,d12f,d12a
362d,4d9a,5992,59d7
2755,ab5b,bf3a,bf3c
217b,59c3,2ce4,401a
c2b5,edf8,7652,79aa
b890,7031,e5a7,ee32
7c63,2956,5b71,7e00
c6db,fe8a,1b79,7e00
5e0d,ec0c,6757,fc00
6af9,034f,2b9b,2b9b
cfdd,c4ab,25e8,5897
af3e,d566,7c69,7e00
18bc,dfda,1610,bca4
7c31,4cf8,4999,7e00
6d86,0d7a,20e2,3f9a
be4e,870f,b0d4,b0d3
fe10,7bec,bd59,7e00
81a2,befa,6753,6753
0c53,2396,5cc4,5cc4
7308,efd6,f611,fc00
f8dc,7f4a,4eea,7e00
b0af,8a47,4e5a,4e5a
e541,1216,1ad4,bbf7
9589,8725,267f,267f
be3a,b143,6054,6055
7bfb,0ee4,4376,4fcf
5daa,2d0b,706f,7073
ea73,33b4,caed,e252
758d,1033,4853,4d14
6e6e,0ac7,aada,3d3b
62e4,0b3c,b1a8,2498
3414,26af,c037,c034
8d22,ab2b,e326,e326
cbf0,d28e,23ee,6281
938b,3d74,9ee1,a015
5007,d87b,06f5,ec83
3464,c3dd,7b42,7b42
ef5d,ac5c,dd80,590c
7afd,d44f,cd29,fc00
681e,8179,c949,c949
979d,b52a,4119,4119
f40b,327e,4b67,ea89
baba,3044,9b48,af66
8e0a,c72e,b816,b811
3150,99aa,6b4c,6b4c
78d0,60d6,527a,7c00
71a6,0848,aed1,3d9f
8b36,0311,de5d,de5d
03a9,f6eb,a699,a699
7511,fed4,6e7f,7e00
a4e8,8c28,3fa9,3fa9
5920,da2a,9d0d,f7e6
11b6,2539,55fd,55fd
7589,181b,a10d,51ae
45d2,9799,e849,e849
e690,52a1,98f5,fc00
6f0d,e199,19f1,fc00
a5a1,5bf3,e8d2,e8d5
6317,54de,c167,7c00
1245,1413,e1a6,e1a6
6078,c8ac,5021,ed30
2b95,e046,3220,d007
bb05,fb0f,b3c7,7a32
8e6c,d216,ee91,ee91
200d,1531,0f3c,0f3c
2e23,210e,d704,d704
ec34,95ed,e62f,e629
71ce,420a,0b01,7862
1356,8b17,b7fd,b7fd
5ed1,1d43,1f4e,4080
1e0b,01ba,58fa,58fa
df42,789f,6823,fc00
be94,6b6f,24c5,ee1d
bdc1,2d79,fcf5,7e00
a988,74cb,b82b,e2a2
693a,b197,037e,df4e
af3e,88cd,74f0,74f0
7828,fa4b,87da,fc00
5ac9,b56a,d381,d82c
705e,521b,6c8f,7c00
f83a,5e80,9b55,fc00
71fc,aa00,ab1e,e07d
a415,92e1,74cb,74cb
baba,8b76,e1d6,e1d6
311b,0173,75f1,75f1
ed4b,3c1a,9b56,ed6d
3880,457b,51fa,525d
cf6a,bf81,6feb,6ff9
b45e,5241,74b0,74af
29d8,fde5,43ef,7e00
6d12,029b,3fc5,3fc5
05a6,3e12,cf7e,cf7e
6773,693f,6839,7c00
9110,94c5,dc4e,dc4e
8bd5,a028,32e1,32e1
d704,74f4,dc16,fc00
d2c4,58eb,607d,efc2
4309,a343,f88b,f88b
636e,9189,333b,b6aa
987e,ff1d,dc71,7e00
b797,2344,a20c,a4bf
a4e3,1e08,9091,917d
dca2,a2de,5ad7,5af7
ffea,3783,40a8,7e00
b619,a47c,a12b,9b00
2cf9,13a9,0209,04c3
7868,e269,33c8,fc00
ae00,66b5,778f,7785
31f9,612d,a28c,57ba
8ce5,503f,6a4d,6a4d
48e7,a656,fcb6,7e00
713e,8691,333c,bacd
805b,0e7a,3f13,3f13
83c0,503f,834b,0000
c0da,22bf,f26a,f26a
578c,80f6,33c3,33c3
f5d8,afc5,13f5,69ad
6038,742c,2f77,7c00
b455,d7ec,7425,7427
18b5,58a3,72f4,72f4
2742,0778,907d,907d
1cce,810a,b961,b961
4d9a,b656,6690,6687
6c79,c5fb,27d6,f6b0
7261,11d4,f320,f31f
9084,ed7a,1bf3,4231
bb50,e3fb,813d,634b
e640,02c6,2c7c,2c7c
21c2,6759,46cf,4efe
fccf,852b,2de8,7e00
ca78,108d,0beb,9f1d
75d9,fb5a,5238,fc00
a92f,4a90,162b,b83e
9a83,0a50,f760,f760
301d,ad78,fd54,7e00
9cd0,9fca,94f2,94f2
82b6,509d,2891,2891
e153,3b61,86e8,e0e9
605b,b148,00ab,d5c0
8abd,8c1e,c26c,c26c
b90f,945e,e3dc,e3dc
804c,4896,108d,108d
e0e6,7701,178b,fc00
33b9,287f,6b5b,6b5b
d6df,3ab7,89f0,d5c4
7d17,f724,6e1c,7e00
bff3,8b29,8611,0d99
1882,f5cc,310c,d283
ea69,ce9c,a3c1,7c00
f63a,865b,67af,67b1
2d03,0432,4c84,4c84
36a6,7b28,4404,75f2
4287,b2e1,39f5,2980
94b7,b998,4c5a,4c5a
b5b3,b333,4386,43af
f8bc,cfe3,25df,7c00
93d4,2b2e,f17e,f17e
0b51,2541,55ba,55ba
dfed,21e9,d484,d4e2
1eab,61a9,38f9,4557
9c3c,b7be,d631,d631
bbfb,75a5,15db,f5a1
5cde,bdb5,aaab,def2
cf97,257f,193e,b932
33fb,98e0,e1a6,e1a6
6b8b,a4be,8f66,d479
8708,f6f3,384e,4330
f356,7beb,716c,fc00
2815,f223,0949,de43
9c9b,c837,bf62,bf3b
04f7,939c,b104,b104
6f03,81b2,4e0e,4e0e
eddd,0ebb,3a19,bed2
a216,a17c,4866,4866
901c,2f55,15e2,15e2
ec38,3c3d,7bba,7b2b
142f,156e,cfd1,cfd1
c222,fe2d,6e20,7e00
5146,fee1,f909,7e00
26d7,12d8,fcaf,7e00
8c2b,00da,807d,0000
3371,bfc5,b57a,ba5a
b13e,e530,24c7,5acc
1054,9428,4ad2,4ad2
7f61,2626,756a,7e00
0796,2d0c,5169,5169
a96e,74b4,04e6,e262
83db,dc45,e738,e738
3a4b,7bc2,9faf,7a1a
5f13,b9e8,d4e9,de73
af3d,b5ac,333e,3443
ae87,ba99,a525,2c19
855b,fc62,336b,7e00
8168,1fa8,376a,376a
2165,ec81,7e06,7e00
757e,5e68,df98,7c00
6f32,de31,8adf,fc00
803f,f58b,48b4,48b4
ea4a,8f09,58bc,58c7
7cb6,0f62,c5eb,7e00
a243,58a9,3141,bea4
34ab,291b,de6a,de6a
696d,886e,c84d,c87d
aeb9,98fc,08eb,0ea6
185c,9e81,aeb6,aeb6
0c21,8de0,4d93,4d93
072e,60dd,5f75,5f75
437f,d5e9,1719,dd8a
cd53,be00,cbc0,4c1c
63d8,6660,ce56,7c00
8b4a,b8fb,a7fb,a7f2
bd6b,fe0e,d88d,7e00
3936,c580,cf20,d003
5245,e537,9d16,fc00
ae35,5959,0d82,cc26
912d,56fb,f9fa,f9fa
38f6,7e85,39e7,7e00
fef3,9f98,1cee,7e00
ce10,779b,1b9f,fc00
555c,b316,bee8,cd2e
938f,a55f,5899,5899
a5fd,27a0,acb9,acc4
2baf,5252,d636,d605
4da8,303d,cd90,ccd0
6b65,5c3a,248d,7c00
11d1,7494,1dbe,4aa9
fcad,0936,7c3d,7e00
2ca6,3ea9,b32f,aea1
6866,281b,2e53,5486
b1fb,2885,603a,603a
1c59,5845,a7a6,3867
a0b8,5db5,4a3b,488c
75d9,a690,b8a7,e0cd
4241,2f72,d47b,d475
f4d4,b0b5,a046,69ae
022b,c353,a4c2,a4c2
0e38,f523,b438,c820
0778,4aaa,952b,0c38
c93d,5d72,bc52,eb23
733c,385d,c10a,6fe3
8f4c,3577,5ca0,5ca0
f265,39f5,e578,f172
bc6f,3241,ae6d,b513
3277,8916,8af1,8af1
55b0,be93,78f1,78ec
c7f2,b4dd,2b0e,40f0
3bc1,dd1d,43d8,dce5
5003,193f,3540,3691
7407,c433,43ff,fc00
b48d,cf39,b30a,4800
db3a,a117,4457,46a4
649f,53d8,df2d,7c00
c81b,ee0f,f329,786e
4f66,810f,e463,e463
af8b,e4cb,c0bd,5872
e221,2925,2f7e,cfdb
f7d3,4fae,9fce,fc00
3f15,934f,f557,f557
d302,4300,7834,782e
aebf,6aab,142e,dd9f
e3f2,1da5,92be,c59b
bb72,01d0,0a28,0a28
0394,25ac,17ee,17ee
1bef,2d8c,f0c1,f0c1
0041,ea2a,66bd,66bd
3258,a5db,36af,369c
c770,1c19,fc62,7e00
d1db,da3c,6f7c,7427
2af9,effa,2376,def4
db3d,cee0,f051,e8d4
5d8d,5eb5,c7a8,7c00
4abb,bd88,802b,cca7
7b37,f5dd,8f02,fc00
1261,4760,7c5a,7e00
cf3a,3548,3e8c,c7e7
f59d,ef34,16fb,7c00
62cf,42b2,bf29,69b2
e799,1aba,7b44,7b44
206d,f0da,91ce,d55e
7b5b,6202,de28,7c00
227c,cd00,94c0,b413
0272,8045,e9ca,e9ca
5d7d,ef31,55ed,fc00
7f4f,3860,6ed7,7e00
273a,50df,5749,575b
2b3e,2d18,cf89,cf89
dd4c,1f7b,9a80,c0f6
4662,370d,ad94,4173
09ef,3ef6,1cb9,1d0c
f6f3,3425,0300,ef33
3753,3af7,d684,d67e
f9e7,0a2b,03df,c88d
66c0,a7ec,e5f9,e62e
41e8,1ff3,1038,2600
c1ff,6cf7,6867,f257
6a2c,e83b,d641,fc00
02de,162e,8ced,8ced
6172,6819,b988,7c00
f732,125d,706d,706a
fd87,3304,68fd,7e00
2726,4743,9e27,324c
b723,0394,dafd,dafd
5c60,9a19,ac67,bb38
ca66,aa4a,9254,3906
3def,e4d5,6870,5ed4
0537,6a38,d3ba,d3b2
eb7f,f464,c2f9,7c00
6e86,f3a9,2a8c,fc00
c853,d2ce,fee5,7e00
a7a1,bb63,63b4,63b4
012d,efb8,9e3c,9e3c
74d8,3a37,6a1c,7487
ce6e,b85b,8a8d,4b00
a5c3,6265,d846,d8d9
160c,1590,829c,0000
0850,3c63,9a52,9a06
40d9,eb73,22ec,f084
907c,60c8,7c01,7e00
4a3d,9413,7bd6,7bd6
02d1,a3b7,8759,8759
e8b3,c598,543d,729a
4910,9b26,26f0,a038
3afa,dc09,22ba,db0a
eb98,026d,ea1b,ea1b
73d9,41cb,643c,79d1
dc39,612b,e9f0,fc00
3d52,e4fb,6596,dc28
5fcd,94ff,cd7c,cda3
5c90,7a4e,6954,7c00
1725,c71d,7992,7992
991f,83dc,60d5,60d5
4213,0b65,1ae5,1c26
f63f,8e23,e7c0,e7b6
e8d2,28aa,7219,720e
3506,7b21,f2a3,6ca2
7185,99a4,e83d,e84d
7855,8bf4,e648,e651
39ea,bb7f,783b,783b
89dc,313f,c2b1,c2b1
e833,b290,b33b,5ee3
044c,2076,aad0,aad0
94b5,e1f9,5e89,5e8d
ba7c,c898,2411,4776
ac3f,01f0,76eb,76eb
104e,e03a,159a,b486
3afa,db39,ac3c,da4d
6dd2,8675,9c4e,b8bc
b6ec,7746,e6aa,f320
b5e7,40f3,48cf,485a
1b57,b456,668a,668a
9a57,0a84,17b9,17b9
a026,0caf,59dd,59dd
464f,0013,c0dc,c0dc
3750,b912,4ebb,4ea8
9c99,99ce,9d98,9d98
7e8e,e0fa,f0d3,7e00
bddd,9e94,faae,faae
31a2,f4ab,c1fa,ea94
1285,7673,6364,638e
bcca,6f96,91eb,f08b
5926,d9c8,a491,f771
94ed,c2e3,26fe,2807
a1a7,8bef,d123,d123
489b,27bf,cf52,cf40
e95d,7db9,47a5,7e00
b0f2,d4ce,3dab,4aa6
06fd,3bcb,d901,d901
0248,9822,cc80,cc80
f9ad,febb,c53e,7e00
905e,b8db,f12c,f12c
767c,24b8,bc24,5fa2
ab06,2e6d,698f,698f
52b1,648d,33e0,7b9d
3885,3dbc,9294,3a79
1789,1d1f,f785,f785
2901,0426,7130,7130
ed1a,a737,620d,6334
d196,2566,d375,d393
b979,d9d4,5368,59d6
17b2,73dd,5518,56fc
9634,ffd7,700a,7e00
2aa2,9ab6,dcb9,dcb9
87c3,fe24,0fe3,7e00
d3cc,9008,301b,3116
bb36,22ad,7dcf,7e00
de7e,59fe,e9f5,fc00
3245,2f1a,2b09,2ce9
0e96,5a94,c4d9,c4c3
0dac,e67d,6802,6802
f4ba,b02a,1662,68ec
fb06,d59a,0cbd,7c00
b029,dc60,cf03,482e
12d9,07bd,4287,4287
cf53,ea90,3e04,7c00
07be,fb70,e788,e78f
1487,29fd,7606,7606
7024,07e3,e336,e334
9242,9f87,1b44,1b44
aa04,cb10,23fc,3970
bb6e,6439,5bbe,e1e8
f89a,5767,a7e6,fc00
5070,7dcb,8e5b,7e00
eb43,86f3,671b,671b
d258,91b9,eeb1,eeb1
e0e3,4369,ae42,e887
7479,529e,4d64,7c00
e50b,b2b6,55e4,5db4
2b64,2403,cddd,cddd
6078,62e5,0f29,7c00
a5e5,a4da,d2b5,d2b5
5d15,5100,dd2f,7231
e82a,2b65,5b93,5773
1611,aec5,e6b0,e6b0
6a4b,5390,eeb4,7c00
1c95,e251,c409,c7a7
2b17,c0d3,368b,3468
7d03,d7a9,e57d,7e00
1584,9399,eee3,eee3
1fba,5fbd,d94f,d931
ac04,6399,3852,d390
e7f7,fc05,a897,7e00
0fde,b6de,1cb4,1c7e
9f06,1f09,cca6,cca6
05d5,f04d,319b,b8de
c629,463d,897c,d0ce
2bb3,bb15,4138,411d
7b5f,298a,6f8d,710d
9a1e,cfeb,0003,2e0e
f06c,9b95,a375,5031
305c,5462,c0bf,472e
094c,44d3,1e52,1f1e
6cce,b272,2bd9,e3be
defb,ffd3,b23c,7e00
8963,9785,dcfc,dcfc
9a4e,30c3,6105,6105
0941,09a3,7df1,7e00
a78e,d14b,3527,3e4a
84eb,b2a8,8806,8806
4215,8847,45f3,45f3
aa69,a88a,4d81,4d81
8a1d,9143,1bb4,1bb4
9a58,8794,4e98,4e98
c048,4b47,b584,cfe0
14ed,63db,0541,3cd6
ed54,26fa,3530,d8a3
2407,7fe1,c7d6,7e00
24ce,219a,2901,2908
c71b,da8a,5c2d,66da
b87d,0c14,d4a9,d4a9
0a1f,dd9f,89c6,ac50
2295,64cd,e54c,e53c
4c14,1b95,3f21,3f5f
0689,6440,6e40,6e40
f857,7742,edde,fc00
342a,1772,a7a8,a789
1c8c,ad75,da03,da03
81f3,3516,8145,0000
35a1,7228,d791,6c37
0377,a3e3,8e59,8e59
2be0,9eff,83a0,8ee3
eb98,1133,3a90,be96
d532,a782,1f36,40e4
f1d5,acb7,e676,e20c
4270,7922,10f8,7c00
c943,b5ba,525b,52d4
603a,13fc,e90c,e90c
f53d,985d,a4fd,51b6
a2ae,5dcb,1202,c4d6
c214,ec67,ef40,6e22
9191,0f0c,7bc6,7bc6
4d4c,8ad0,eb6c,eb6c
4a5f,885c,1e2c,1c70
c23d,c61d,b3ca,4cb4
270d,c1b4,ec09,ec09
29c7,a99e,0e05,969b
f7d2,0576,a612,c163
1e0b,bd74,2abf,29b8
3666,eb71,b2f9,e5f4
eef3,2f51,75b6,7583
0cc2,1908,39fa,39fa
ea85,2b80,0da9,da1d
efe7,535c,87b6,fc00
7ab0,a362,7462,7431
241d,9522,5e3e,5e3e
09e6,dd95,b7aa,b859
e01b,8c91,491f,4932
d244,ebb5,d8fb,7c00
5ca1,b39e,486d,d3b5
3760,4a83,d98d,d95d
4d0e,fcbb,0613,7e00
4113,cab0,ee62,ee6a
78f6,6543,0c11,7c00
3997,1d9a,df20,df20
887c,6d3f,c098,c210
c644,5a91,9e2c,e525
f76d,a813,8722,6390
e0f6,5585,455a,fad8
addb,14ca,5408,5408
16b3,869b,9a12,9a12
6866,fcf5,2a54,7e00
8d3e,c95e,a8e9,a878
2686,8024,ad58,ad58
465b,8923,5810,5810
3859,855b,82a4,0000
13d0,f5bb,00fc,cd99
8b30,c650,27e0,281d
48b7,d921,42f8,e609
4cd6,989d,db9a,db9a
5ab2,8188,2c13,2c13
add6,61ae,ee92,eea3
83e4,9bec,6443,6443
c44c,6065,2a8b,e8b8
e37c,ba48,38ce,61e1
c8d4,384e,fc70,7e00
e6fc,4884,14c4,f3e2
ac18,31d7,ee64,ee64
c6f4,6e1e,efad,fa47
5921,a4ff,8fa8,c268
1ccd,f5da,bbee,d716
bc43,8cd6,2a79,2a83
91a5,fa2d,4a44,51ed
421a,36aa,46f4,481d
19cd,2dc6,bbed,bbec
892c,3f11,551f,551f
3ef8,5c01,c7a8,5edb
3fea,8c13,bddc,bddd
9bb9,4dea,93d9,adc6
1325,8900,a9c4,a9c4
09b5,def8,e98d,e98d
b498,dfef,8288,588e
28dd,ded2,36bc,cc0a
75b3,cee7,9887,fc00
260f,f271,7307,72e0
e516,0a48,5edf,5ede
69e4,fe21,84f4,7e00
86ed,ac11,1b6c,1b6c
8e2b,c48e,09f4,17c4
860e,485c,957e,9865
d778,9916,16d6,34c7
4dc0,def8,1bd5,f102
ae46,226c,151f,0000
c9db,7b71,129f,fc00
f320,20aa,560c,d084
4973,2adb,a588,387f
d7bd,38b8,5dfd,5cd9
bdaf,83aa,5342,5342
d8d0,fbe1,db1f,7c00
f7fe,fd48,3568,7e00
a7ef,5dbb,5f80,5f53
75b8,7970,0c69,7c00
6ad3,3d44,54e7,6c92
13ec,8ed4,4b44,4b44
a6c3,44f8,353c,3245
1907,c6d8,5df6,5df6
9d06,67a4,faa9,faa9
ad9f,7390,469b,e549
7045,24e9,e1af,e060
5435,f0a9,6823,fc00
0f41,979e,97c0,97c0
7102,28fa,d80c,5c35
