a,b,sub,expected
1ad9,2529,0,2604
2e9c,b809,0,b66b
e633,b993,0,e634
8d4a,a762,1,274d
6925,20fc,1,6925
a12c,92c7,1,a0c0
3a43,2541,1,3a19
8de2,77fa,0,77fa
6c02,3fc6,0,6c02
732e,0dc6,0,732e
e4f6,50e0,0,e4cf
7676,ca4f,0,7675
7a77,c257,0,7a77
1950,0b66,0,19c6
1325,f5a8,0,f5a8
1f11,35ba,1,b59e
008b,9c4b,0,9c4b
e23c,dc3d,1,e01e
0474,235b,1,a352
3d60,f8a2,1,78a2
6454,6190,0,671c
5774,dc7a,1,5e57
fd25,7274,1,ff25
6f92,d5b3,1,6fa9
53d0,1ce2,1,53d0
efea,b1de,1,efea
1403,b349,0,b341
ee9e,fb5e,0,fc00
5199,89c0,1,5199
4838,c89a,1,4c69
b11d,5060,1,d065
b2ae,9e4d,1,b27c
3a44,e8d8,1,68d8
5c52,86f4,0,5c52
b591,3d36,0,3ba4
6722,bf73,0,6720
f774,bf19,0,f774
fbd9,0e26,1,fbd9
1043,51a8,0,51a8
64eb,646e,0,68ac
8776,65dd,0,65dd
a6c4,d24c,1,524b
2b37,a43d,1,2cab
d38f,731b,0,7313
4ca0,8f20,1,4ca0
ba0a,cb19,0,cb7a
71fe,0349,0,71fe
a2ad,59b1,0,59b1
f5e7,f22e,1,f1a0
b5ba,010d,1,b5ba
e2ec,f252,0,f2c1
f64f,3d36,0,f64f
78fb,95bb,1,78fb
88a6,592d,0,592d
5604,fada,0,fad7
9177,f33f,1,733f
1a5e,ea9a,1,6a9a
cd0e,24f7,0,cd0d
3a9c,30e4,0,3bd5
d3cb,bd25,1,d3a2
bb2c,1921,1,bb31
377a,d978,0,d974
16cd,6760,1,e760
a772,8588,1,a76c
7baf,e59e,0,7b82
e8b9,723e,0,7110
940d,c6e1,1,46e1
3b40,457b,1,c493
37f3,ee49,0,ee49
4138,588f,0,58a4
0b9e,cfaa,0,cfaa
8ea1,11ab,0,0cb5
e34d,b62b,0,e34e
3590,4c8e,1,cc78
6e61,c6f2,1,6e63
536c,639d,1,e326
f7ae,283d,1,f7ae
f73f,0f52,0,f73f
1a5e,df6f,1,5f6f
b432,0076,1,b432
6307,ad3a,1,6307
bf8f,621c,0,6218
bace,78a8,1,f8a8
5dbb,02df,1,5dbb
f809,dc16,0,f811
ae02,2f37,0,24d4
204c,4a1a,0,4a1b
a901,45eb,1,c5f5
50a4,88d1,1,50a4
0c55,b3c7,0,b3c5
27fc,41ea,1,c1da
a85c,4da2,1,cda4
c021,92cf,0,c021
c813,f348,0,f349
96b9,7dd6,0,7fd6
52bf,1ff5,1,52bf
320c,baad,0,b92a
8dff,201b,1,a04b
d356,0ff9,1,d356
1cb0,f0a1,0,f0a1
73f0,2746,0,73f0
fbd1,be17,1,fbd1
672d,6432,1,61f6
c4e8,1df1,1,c4e9
8621,1226,0,1162
fff1,85b3,0,fff1
1c54,ebec,0,ebec
5e23,c0de,0,5e19
d055,5c7b,1,dd06
d99b,d5ba,1,d57c
1940,dca4,1,5ca4
703c,3937,1,703c
0d1c,7cdd,0,7edd
5c7f,59f3,1,5616
1d34,8982,1,1d60
16bd,1c0a,1,98b6
bd11,b3b6,1,bc1a
74d5,f0bc,0,70ee
63af,a652,1,63af
dd57,db31,0,e078
4946,72d1,1,f2d0
f10e,efb3,1,e8d2
c4b4,fb44,0,fb44
d75f,cf4d,1,d58c
a7fa,0959,0,a7ef
ec79,a7f4,1,ec79
25e1,90d8,1,2608
f3e9,b549,1,f3e9
c2b0,759d,0,759d
740e,52ec,1,740b
0197,c6ad,0,c6ad
2dc0,02e5,0,2dc0
5978,d45e,0,5692
d858,e796,1,670b
157e,64d5,0,64d5
2d6d,78ff,1,f8ff
facd,7b4b,0,6be0
ae59,433a,0,4307
dd35,b2d8,1,dd34
3540,01b7,0,3540
33c7,f03c,0,f03c
4755,1e4e,0,4757
850f,8e35,0,8f79
f151,12ed,0,f151
cd29,8815,0,cd29
6bb8,6a8d,0,6f22
5b4e,6495,0,657f
1070,ef00,0,ef00
500b,b73a,1,5019
e173,3309,1,e173
3ca5,9bd5,0,3ca1
8502,73e7,1,f3e7
b80a,72c5,1,f2c5
d286,726e,1,f275
0590,d396,1,5396
b852,da7e,1,5a7a
ed75,7c88,1,fe88
004e,cfd4,1,4fd4
54e5,f5de,1,75e3
23c6,f3d2,0,f3d2
24c9,1a84,0,259a
dd3c,6610,1,e75f
f1bb,3c26,0,f1bb
5e78,e626,1,67c4
38f9,2db7,1,3842
85de,15c6,0,1568
b5c0,9d1d,0,b5d4
0543,1c74,1,9c5f
e2fe,3afb,1,e300
6e30,feff,0,feff
d986,98c3,0,d986
9cce,8474,1,9cbc
b5a2,628b,1,e28c
c4f7,2f0a,1,c513
f645,7eac,0,7eac
4737,e9d4,1,69d8
84fc,f32e,0,f32e
c3db,15ea,0,c3da
258c,7eb6,1,feb6
0e6d,1ccb,1,9c64
e084,f26c,0,f2b4
4c58,5422,1,d218
6713,160b,0,6713
5efd,50b0,0,5f93
abf0,5b69,0,5b69
4df3,6957,1,e94b
a7d8,c861,1,485d
8b49,5fed,0,5fed
ba00,5d24,1,dd27
3582,20df,1,355b
5061,eadb,0,eac9
1752,6f92,1,ef92
9ad3,1bcf,0,0fe0
7cad,e06c,0,7ead
f455,410e,0,f455
f163,6f05,1,f473
7845,3c6a,0,7845
21e6,fb67,0,fb67
e20c,88ab,0,e20c
ce13,13f5,0,ce13
370a,9094,1,370c
05ea,f89a,0,f89a
6c58,6b7d,0,700b
d9a2,e8a5,0,e8ff
37a6,63ac,0,63ad
a000,07f6,0,9fe0
1356,5731,0,5731
d258,f221,0,f227
e6d5,0ac7,0,e6d5
9b4b,2f18,1,af52
64d9,4056,0,64db
e81e,7586,1,f60a
841c,1a87,0,1a66
92c2,0b98,1,9454
6d14,1008,0,6d14
53a8,7b6a,0,7b6c
72df,c307,0,72df
6dc1,c741,1,6dc3
926c,9d44,1,1c76
138b,18bc,1,95b2
102e,55d8,1,d5d8
d0e7,9b79,1,d0e7
f7f5,9465,1,f7f5
d4e6,dace,1,585b
2f5d,b84b,1,3937
2c04,c7dd,1,47ed
21b9,9999,1,231f
0e3e,fec0,0,fec0
e780,ca6e,0,e78d
ec8e,d749,1,ec71
367a,394b,0,3c44
cde2,0167,1,cde2
9ea2,f55f,1,755f
3037,78c4,0,78c4
9472,0df3,0,91ea
5b84,e2ad,1,6447
6db4,204e,0,6db4
4503,094e,1,4503
34eb,f9bd,1,79bd
7502,1960,1,7502
e91b,38a6,0,e91b
9c91,0e3c,0,9c2d
44a7,da2e,0,da09
b1c4,9015,0,b1c8
d65f,7ec8,1,fec8
28a7,02d7,1,28a7
6f2a,61ab,1,6e75
5371,35ac,1,5366
a6eb,cb74,0,cb77
94c3,b7ff,1,37fa
304e,02d0,0,304e
826e,ace4,0,ace4
23b7,e9a8,0,e9a8
4964,b251,0,494b
2196,5b39,1,db39
bc3e,513f,0,511d
b228,2bc5,1,b40d
35a4,682e,0,682e
ebf0,aab3,1,ebf0
f456,861d,0,f456
1b1a,e2a6,0,e2a6
f6f0,d358,1,f6ec
7928,37d5,0,7928
3a29,29de,1,39cb
75aa,6a07,1,74e9
db16,4072,0,db04
46af,590d,1,d8d8
d5b0,7e4c,1,fe4c
31e6,e4f6,1,64f6
9637,4a1f,0,4a1f
31db,9cd1,1,3202
9e4a,142f,0,9d3e
896c,68b1,1,e8b1
bafa,ee04,0,ee04
e6d8,a175,1,e6d8
d2e6,d77d,1,540a
776c,b772,0,776c
222c,29bb,0,2b46
74a3,0f65,1,74a3
afcc,2037,1,b029
677e,0c9a,0,677e
7b01,2bb3,0,7b01
71f6,02cf,1,71f6
61d7,447a,0,61e0
a779,5a7a,1,da7a
a123,74d9,1,f4d9
5909,e27b,0,e139
4f84,33c0,0,4f94
3e17,6c22,0,6c22
2fcc,ffd7,0,ffd7
ceff,6192,1,e1ca
0109,8f7a,0,8f7a
e176,5c4e,1,e39d
36eb,e4e9,0,e4e9
05d8,caea,0,caea
cdeb,a83c,1,cde9
7874,f577,0,72e2
9286,e405,1,6405
3d27,ebf9,0,ebf8
b5ac,4d08,1,cd1f
140c,caad,1,4aad
81ac,d53a,0,d53a
0b1a,2d36,1,ad32
10ee,ccf9,1,4cf9
b04a,b391,0,b5ee
bafe,5ed9,0,5ed6
41fe,cb35,0,c9b6
1485,082c,0,150a
048c,de6d,0,de6d
6e3f,8450,1,6e3f
a9e3,a763,1,a463
bd9c,6058,0,6055
9226,163f,0,1258
a3dc,c249,1,4241
5f94,c1e4,1,5fa0
54bc,82be,1,54bc
d4bd,c093,1,d498
bf78,10eb,1,bf79
1229,a50b,1,253c
c550,9ec8,0,c552
bed5,4392,1,c57e
4d39,d68a,1,57d8
db5e,c59d,1,db31
3c17,c659,0,c553
b307,b723,0,b953
1eca,0bf7,0,1f0a
e324,d171,1,e2cd
ef34,6fe7,0,6198
ddd0,9dad,1,ddd0
b285,0312,1,b285
edf8,0165,1,edf8
9998,0162,0,9998
89dc,b1c8,1,31c7
33f6,bad0,1,3c67
e6e9,6ab1,0,6679
a156,6d4c,1,ed4c
fb94,34a7,0,fb94
7de1,e442,0,7fe1
bdb7,81f7,1,bdb7
dac9,2de5,0,dac8
fa0c,0ca1,0,fa0c
cc0d,11cd,1,cc0d
d4de,573b,0,50ba
fa49,21d9,1,fa49
4898,3101,1,4884
fc19,ae37,1,fe19
e1df,3497,0,e1de
7911,1fc4,0,7911
cb20,97e1,0,cb20
400e,fdcb,0,ffcb
04da,dce6,1,5ce6
fcee,a9bc,0,feee
0a38,bf7c,0,bf7c
0148,b887,1,3887
e51d,374b,0,e51d
f83f,1812,1,f83f
9f2f,24eb,0,223e
098f,9112,0,8f5c
d99e,aaf5,0,d99e
d22b,894b,0,d22b
1cfe,64df,1,e4df
7e8b,bd97,1,7e8b
2083,1c19,1,1ced
f1b5,f999,0,fb06
c5f8,911b,1,c5f8
7030,2b63,1,7030
e011,b8e5,1,e010
d93a,72a3,1,f2b8
5403,3c95,1,53e1
21f6,4d97,1,cd96
efe4,d5ae,0,effb
d52b,5549,1,d93a
3ac8,2fdd,0,3bc4
9144,4e98,1,ce98
fa04,ec3d,0,fa8c
fa46,ff0f,1,7f0f
332e,923a,1,3334
3e7e,a911,1,3ea7
eb1e,101a,1,eb1e
8c3e,3037,0,3035
fe58,9fa8,1,fe58
71b7,5241,0,71bd
c699,2b89,1,c6a8
fc7d,0902,0,fe7d
e0e4,1997,1,e0e4
fd5e,7790,0,ff5e
dc26,3467,1,dc27
3140,ea13,1,6a13
241b,0bc6,1,240b
2335,40c9,0,40d0
1ebc,27f0,0,28d0
e3c5,89cf,0,e3c5
fe9a,20bc,1,fe9a
707a,3934,0,707a
8b0f,2a76,0,2a6f
6fa0,282d,1,6fa0
aa15,7b7d,1,fb7d
8426,95bd,1,157b
e72c,3619,1,e72c
09bc,7c79,0,7e79
f2bb,6b5a,0,f0e4
fe3c,d0a5,1,fe3c
4b4c,5c12,0,5c4c
5022,4a6a,0,51bc
a79d,d87d,1,587d
f753,5824,1,f75b
8209,4be6,0,4be6
9468,7f74,0,7f74
28cd,409a,0,40ad
6455,252c,0,6455
e62b,eb6a,0,ed40
1796,26e1,0,275a
0420,6517,0,6517
97db,c1e4,1,41e3
3cba,16c1,0,3cbc
bc3a,c854,0,c8db
e1be,8cef,0,e1be
44dd,cec4,1,4ffb
35cc,a5e4,1,362a
f0fd,7a25,1,fb64
e4e5,cfbc,0,e504
06ef,d392,1,5392
8406,95fa,0,963a
1607,b66f,1,3675
e124,0df6,0,e124
bbe9,2e3a,1,bc58
bb20,c34d,1,4185
bf7a,e974,1,6973
b78a,53c8,1,d3d7
b06d,9ace,1,b052
7daf,bac0,0,7faf
bbda,e776,0,e777
0b68,4454,0,4454
6f74,882d,0,6f74
6758,af2d,0,6758
c9e3,65d7,0,65cb
f116,1617,0,f116
d980,065a,1,d980
10d5,3825,0,3826
8e32,78c9,1,f8c9
c94b,98af,0,c94b
4bb4,8327,1,4bb4
9265,1e6a,0,1d9d
dee8,1c07,0,dee8
aba3,9120,1,ab8e
6c7d,c880,0,6c7b
7464,a9b3,0,7464
f462,cf26,1,f460
ab82,4c15,0,4c11
7c9f,cfdb,1,7e9f
9068,1a08,1,9b22
5ade,36aa,1,5adb
737a,a26d,1,737a
750f,4ffb,0,7511
9bc6,b14c,0,b16b
2a61,fd13,0,ff13
0333,95a9,0,95a9
8054,d0ca,1,50ca
2010,78b7,0,78b7
7cf3,d5ca,1,7ef3
ed5f,4516,0,ed5e
5eaf,d326,1,5f94
2445,ee3b,1,6e3b
17d9,8c62,0,16c0
8745,a960,1,295c
04d4,a50a,1,250f
72e7,b1df,0,72e7
2cf3,608b,1,e08b
8c8e,4469,0,4469
f206,259c,1,f206
2d11,872f,1,2d13
a5d7,c094,1,4088
fa8e,4a00,0,fa8e
da23,5975,1,ddcc
8997,d50e,1,550e
fdf8,0a0b,1,fff8
617f,86e2,1,617f
4ceb,d6a4,0,d569
c740,f503,0,f503
0470,bce4,1,3ce4
7fab,fa19,0,7fab
612c,a879,1,612c
8550,db98,0,db98
3910,2064,0,3922
f5c4,4e1e,0,f5c2
bb07,36f4,0,b71a
04b1,fc1a,0,fe1a
3657,52bd,0,52ca
b17b,dcb2,1,5cb1
49a8,013a,1,49a8
03da,303f,0,303f
b570,ee4c,1,6e4c
7b4e,baab,1,7b4e
8543,c656,1,4656
2304,d788,1,5788
7d64,ba25,0,7f64
accf,e51c,1,651c
0fdc,5267,1,d267
8819,f1e5,1,71e5
5e0d,4f25,1,5d9b
192b,2ce0,1,acb7
bdc4,9bfd,1,bdc0
5b63,aa66,0,5b63
f904,9eb0,0,f904
1af8,6ae0,1,eae0
b396,c135,1,40bc
113c,7132,1,f132
265d,3130,1,b064
f8d1,19f2,1,f8d1
7f7b,815e,1,7f7b
82fc,031b,1,8000
2942,f2aa,1,72aa
858b,2ebd,0,2ebc
d860,a171,1,d860
11f4,2580,0,25b0
6e51,776c,1,f5d8
da92,6176,0,5fa3
6133,7428,1,f3fd
bb04,c1b2,0,c373
6195,730e,0,7367
f07a,64ba,0,efc6
7df6,fa51,1,7ff6
d7ec,2914,0,d7eb
6773,9a32,1,6773
87a4,db1c,0,db1c
c96f,bbd0,0,c9ec
9658,a853,1,2820
9b86,9c3d,0,a000
ba9a,a3e1,1,ba7a
739a,85bd,0,739a
0d81,ce68,0,ce68
df7f,e1d3,1,5c27
45ef,7916,0,7916
485f,d1b5,1,52cd
fe32,5bbc,1,fe32
b334,2eff,0,af69
5ac6,f7c9,1,77d7
fbaa,29f5,1,fbaa
b3b3,7d11,1,ff11
0c5e,5101,0,5101
1b77,c1ff,0,c1fd
27b8,67f4,1,e7f4
604d,0073,0,604d
f527,5414,1,f52b
ca52,8e8d,0,ca52
6157,191b,1,6157
429a,c71e,1,4936
4ee8,2cff,0,4eed
a11a,e31d,0,e31d
7241,903b,1,7241
5a69,20e8,0,5a69
d3b3,ec1b,1,6c0c
ffa7,50be,0,ffa7
5373,9741,1,5373
45f6,7d81,1,ff81
f313,cd2b,1,f310
74d9,7b42,1,f8d6
7935,ed0c,0,7894
9d6a,5314,1,d314
6cf8,180a,1,6cf8
b58d,c3f6,0,c454
00af,2e7d,0,2e7d
6642,1206,0,6642
dd15,8911,1,dd15
783e,1934,1,783e
bcdf,a80e,1,bcbf
7569,2e35,1,7569
59e6,1503,1,59e6
e499,d351,1,e45e
a0fe,b8e6,1,38d2
53d1,ca6c,0,5236
f246,6b6e,1,f411
93e2,fd39,1,7f39
8157,c03f,1,403f
039a,06e7,0,06e7
94bc,eefb,0,eefb
4df2,041b,0,4df2
56a0,6f73,1,ef58
b65e,08ea,0,b65d
14e3,9677,1,19ad
1cf4,f42c,0,f42c
703a,4bf2,0,703c
573a,2d26,0,573b
278b,6474,0,6474
f6c7,5495,1,f6cc
b16d,5413,0,5410
c614,abda,0,c624
a10d,cf30,1,4f2f
8a31,d8b3,0,d8b3
a9f7,41c7,1,c1df
6c43,0d8e,1,6c43
fc15,ef76,0,fe15
6760,4b76,1,6751
e0e4,1889,1,e0e4
14e5,1951,1,95bd
73a2,2d0f,0,73a2
c147,39f1,0,bf96
fde2,d80f,0,ffe2
94f2,01be,1,94f2
5520,e9c3,1,69ec
ccd8,63be,0,6397
06be,9a05,0,99cf
0ff8,6474,0,6474
cf85,16a7,1,cf85
d11a,49d7,0,cf48
31e5,37d4,1,b4e2
58cf,5ed8,1,dc70
ef56,a646,1,ef56
a067,c4f8,1,44f6
f901,1746,0,f901
0bbb,8b87,1,0fa1
cfbb,99bb,0,cfbb
74dd,dfa4,1,74fc
5ec3,fe42,0,fe42
c72e,8c8b,0,c72e
e041,ad39,1,e041
33c2,60be,0,60be
aa15,22e9,1,abcf
c21e,a619,1,c212
2370,eca4,0,eca4
dc1f,a1c9,1,dc1f
afed,3c80,1,bcff
d36b,133a,1,d36b
4cde,2578,1,4cdd
5833,6c91,0,6cb3
2996,5e58,0,5e58
09d1,55a5,1,d5a5
d366,ce78,0,d551
349f,2275,1,346b
c1f2,126d,0,c1f2
8e4e,5fd6,1,dfd6
d2a0,b886,1,d28e
d20c,0b8c,0,d20c
84e1,a224,0,a22e
5f43,7c03,0,7e03
893a,ff18,1,7f18
2600,1cab,0,272b
6564,0199,0,6564
b07d,8e87,1,b07a
552a,21f5,0,552a
5d99,2db5,0,5d99
7721,8ad2,1,7721
a357,d125,1,5125
78bc,d161,0,78bb
51fa,2623,0,51fb
ff59,e91b,0,ff59
73a7,089b,1,73a7
a11e,ffe5,0,ffe5
f215,78e3,0,76bc
51bb,e33c,0,e2e0
1f1d,ab21,0,aa3d
0752,b74b,1,374b
4c36,06e9,0,4c36
6b74,3abb,1,6b74
8bf3,8ac1,0,8f5a
5e39,f2df,0,f2ad
98e6,8944,0,993a
e93b,7fbb,0,7fbb
f16a,0d98,0,f16a
7e23,178d,0,7e23
72aa,e1e8,1,7308
ddf3,2b3b,0,ddf3
91e5,f920,1,7920
7282,af54,0,7282
4f54,8a05,0,4f54
33ff,1ef9,1,33c7
15ea,afa1,0,af89
bb3f,4332,0,4162
b6ac,cc0f,0,cc2a
b8f2,e1e1,0,e1e2
7f4c,4db1,0,7f4c
0b28,0870,0,0dcc
1bb6,493d,0,493d
ca7d,c576,1,c784
5084,9709,1,5084
7980,3aab,1,7980
f7c4,0f11,1,f7c4
ead7,caec,1,ead0
a4ef,9c9d,1,a390
4146,2ad8,0,4161
bd81,3ee4,0,358c
7c6d,dd40,1,7e6d
c9be,6fb7,0,6fb4
c346,65f4,0,65f0
e5b0,3efa,1,e5b2
90a5,ec8c,0,ec8c
f702,a5ce,1,f702
4ba7,86d8,0,4ba7
a80d,8237,1,a80d
eb3b,5dec,1,ebf8
a6bf,e268,0,e268
f71d,58cb,0,f713
a6f8,dc14,0,dc14
8ae1,12cb,0,1113
82a4,54c1,1,d4c1
9eb8,54de,0,54de
daea,c287,0,db04
bb63,4ce4,1,cd1f
a5bd,e166,1,6166
3998,64eb,1,e4ea
4e72,6c1f,1,ec19
2029,9afe,1,21e8
2b7a,3a94,0,3b0c
9f23,89ff,0,9f53
d079,9fef,0,d079
1c9a,68ca,1,e8ca
6c86,4cec,1,6c81
ba18,1fad,1,ba27
be35,bf7b,0,c2d8
1c3a,8686,1,1c54
b82c,f6a0,1,76a0
45b7,9747,0,45b7
d63a,e52c,1,64c8
6ef0,f2ad,0,ee6a
c07d,a01e,1,c079
8873,5ad9,0,5ad9
91b2,f758,0,f758
3972,9691,0,396f
5d36,a701,0,5d36
4a3f,a4d3,1,4a41
b6f5,7f35,0,7f35
65f0,4ae9,0,65fe
1060,32a5,0,32a9
3c9f,aee2,0,3c31
98bf,76f4,1,f6f4
dc41,2275,1,dc41
7dcc,b171,0,7fcc
ad73,68f1,0,68f1
82fd,da71,1,5a71
edec,18c4,0,edec
fd3c,c450,1,ff3c
1fcf,739a,1,f39a
6a22,a1c4,1,6a22
eda0,6649,0,ec0e
ed39,0b3b,1,ed39
8a54,e20b,1,620b
7515,2fc7,0,7515
307f,3c65,0,3cf5
4155,63c7,1,e3c2
ab1e,50dc,1,d0de
2adc,51bb,0,51bd
3007,a65f,0,2e76
44af,c00a,0,4154
fb65,1151,1,fb65
562d,8ee1,0,562d
1834,7818,1,f818
dd0e,7832,1,f83c
e03b,554b,0,df23
c734,3b1e,0,c650
3873,7285,0,7285
dda6,2151,1,dda6
17f9,b0d4,1,30e4
f35f,5f4a,0,f325
78cd,67dc,0,790c
66bf,efba,0,ee0a
8d9f,dc1d,0,dc1d
23f2,5058,0,5058
1e2a,eba2,1,6ba2
04d6,76d8,0,76d8
bccc,b991,1,b807
1aa2,dbb9,0,dbb9
0548,044d,0,08ca
fc2f,26df,1,fe2f
43f7,06b7,1,43f7
a96a,1d9f,1,aa1e
ff73,40cb,1,ff73
e798,b229,0,e798
6ad6,2ad5,1,6ad6
48aa,f275,0,f274
e02f,f0e0,1,709d
e0ab,3305,0,e0ab
3101,6cd0,1,ecd0
8590,311e,1,b11f
78c2,a6dd,1,78c2
fe25,c661,0,fe25
8350,4fd3,0,4fd3
de67,b6cd,1,de65
7ca0,1757,0,7ea0
43bc,5562,1,d524
154e,1464,1,0b50
5134,8bb7,0,5134
c970,1eaf,0,c96f
eee4,a364,1,eee4
fe54,aeae,1,fe54
a2ee,1cb2,0,a095
f627,be5d,0,f627
1d90,7459,1,f459
5e80,1451,0,5e80
857f,359d,0,359d
2a65,f1a1,0,f1a1
96e2,c9a6,0,c9a6
a355,a813,1,247c
75a5,19f2,0,75a5
29b6,eb59,0,eb59
43e1,f6e6,0,f6e6
92c3,049e,1,9357
8ee1,b57d,0,b57f
2755,beaf,0,be92
dd4f,af0f,0,dd4f
fc15,166d,1,fe15
6d4f,66aa,1,6b49
a401,733a,0,733a
9fad,0c06,0,9f6d
6016,b1ec,1,6016
e972,3199,0,e972
196d,ca8d,1,4a8d
c0f5,23e1,1,c0fd
5007,2d88,0,500a
a60e,a205,0,a888
861f,1da6,1,9dbe
9fed,deaf,0,deaf
8c2f,fbdd,1,7bdd
b096,db1c,1,5b1b
f580,7c9f,0,7e9f
a736,7432,0,7432
59a5,131f,1,59a5
c83f,c5be,0,cb1e
8134,cd84,0,cd84
106d,6a54,1,ea54
884f,04d0,1,8ab7
1ad0,2d42,0,2d78
3e09,9a64,1,3e0c
1130,65c7,1,e5c7
89fa,46a1,0,46a1
858c,11fb,0,114a
9283,1537,1,983c
3bf3,1870,0,3bf7
fb40,1e84,1,fb40
2b61,7529,0,7529
5c18,a091,0,5c18
28f4,2f3e,0,30dc
f47a,efe7,1,f100
8feb,b323,0,b327
93bd,a125,1,20a9
66bf,e656,0,5690
2548,e031,0,e031
70e2,f2f1,0,ec1e
5b2e,bbea,0,5b26
dca9,47e5,0,dc89
aeeb,bbbb,1,3ade
17ac,0d60,0,1882
924d,fa02,1,7a02
f3b1,0c6c,0,f3b1
c61a,c505,1,bc54
9684,cf30,1,4f30
d5b0,686f,0,6842
a40a,83fc,0,a40a
714a,d533,0,7140
7e66,9008,0,7e66
05a4,d566,1,5566
8342,3ee2,0,3ee2
334b,5447,1,d443
18a2,8104,0,18a2
457e,e494,1,6499
8922,5419,0,5419
b2bf,e6e8,0,e6e8
5c2e,789f,1,f897
c4cd,36c0,1,c539
5782,216a,0,5782
384c,9905,1,3851
352d,9b6a,0,351e
5479,553d,1,ca20
714d,df43,1,7187
210d,c110,1,4115
92df,4f96,0,4f96
6a37,508e,1,6a25
3128,fbb1,0,fbb1
3853,e0b0,0,e0af
9ae8,13ad,0,98fd
a78f,338f,1,b440
2c4e,4174,1,c152
aa75,17dc,0,aa36
cac3,15d0,0,cac3
c52b,214b,1,c52e
8dcc,8119,1,8dcc
9671,4430,1,c430
d48f,dba3,0,dcf5
866f,a874,1,2871
ede5,7ae5,1,fba2
4d67,14da,1,4d67
732a,ef83,0,6ed1
2637,8457,0,2633
585a,e368,1,643f
de4e,66ff,1,e849
28f9,24c0,1,2532
f16a,856c,0,f16a
8667,99e0,1,19ad
8a00,5775,1,d775
0815,e04b,0,e04b
647c,35aa,0,647c
8765,2406,1,a40d
019b,b46b,0,b46b
0436,6b76,0,6b76
1229,cc8c,0,cc8c
162f,9d5a,0,9b9c
1a9a,7e9a,0,7e9a
764e,36ab,1,764e
dfc0,3526,1,dfc1
55a8,ae4b,1,55aa
d265,0983,0,d265
f790,20cc,1,f790
73fe,071b,1,73fe
0985,f3a2,0,f3a2
2581,2098,1,226a
b408,1599,1,b40e
f736,e96a,0,f7e3
83c7,183f,1,983f
9c22,17cf,1,9e16
aa4d,43a9,1,c3c2
495d,d20a,1,5361
05b8,c1c2,1,41c2
53eb,11c2,1,53eb
8aa9,57b3,0,57b3
94a5,6674,1,e674
fd82,8f2a,0,ff82
2640,9b79,1,272f
2089,8f4e,1,20c3
27e3,89a3,0,27d8
b40c,1e21,1,b425
02b7,ff53,1,7f53
6f60,b516,1,6f60
4c0a,fc29,1,7e29
b187,ee64,1,6e64
b759,c2ca,1,41df
cff9,b8d7,0,d010
e635,61c2,1,e88b
b63e,04f1,1,b63e
0aa7,4d69,0,4d69
9b16,cf13,0,cf13
f5b0,222c,0,f5b0
d7e5,4df8,1,d8b2
2af6,3162,0,3320
d171,4f35,1,d486
2c47,42e1,0,4303
8527,6989,0,6989
0929,0eae,0,10a1
741f,15b4,1,741f
ced4,cd40,0,d20a
a58c,cff1,1,4ff0
4e07,d126,1,5415
3a93,0e83,0,3a94
e69f,48cd,0,e695
428d,d372,0,d309
3bd1,b99a,1,3eb6
d684,8aba,1,d684
bdba,f42b,0,f42b
f15a,75ab,0,71fc
e94b,93b0,0,e94b
9805,216f,1,a270
f49c,f207,1,ee62
003c,8c4e,1,0c4e
4bbe,ceed,0,ca1c
d1dd,ee79,0,ee85
a4da,85eb,0,a4e0
9e4a,a449,0,a5dc
7dd5,3fd0,1,7fd5
881e,c08d,1,408d
a964,185d,0,a91e
880c,f45c,1,745c
c2d5,0efa,1,c2d5
b792,2828,1,b80c
ec40,a71d,1,ec40
cc5d,5ede,0,5e98
e361,de28,1,e04d
9cb2,1099,1,9d45
cd0b,17aa,0,cd0b
7b65,37a8,0,7b65
9a94,1449,1,9c5c
0a2e,f738,0,f738
c865,47d3,1,cc27
251f,56da,1,d6da
7d21,5ee2,0,7f21
f990,2bbe,0,f990
bed5,5f58,0,5f51
1626,1260,0,18ab
9480,0145,1,9480
536b,86d9,0,536b
3102,2c35,0,331c
f117,a901,1,f117
0539,7c31,0,7e31
ebed,6369,1,ece4
9ad5,52d2,0,52d2
f6cc,337b,0,f6cc
6e62,39a5,1,6e62
b147,4d29,1,cd34
4ec0,3062,1,4eb7
7233,24b2,0,7233
f04b,cde2,0,f04e
a775,8a85,0,a782
dac8,f459,1,744b
1524,80d7,1,1524
fe15,413d,1,fe15
c943,e049,1,6034
8968,5bd9,0,5bd9
4ff8,dbb8,0,dab9
b4f2,4781,0,4732
90c8,b88b,1,388a
5384,8d91,0,5384
f325,8a66,1,f325
2e7e,f795,1,7795
e1c7,c4bf,1,e1be
e153,814e,0,e153
da9a,cb0a,0,db0b
8944,508e,1,d08e
32bb,4549,0,457f
a202,eef9,0,eef9
bbd4,d7d8,1,57c8
3704,4e2a,1,ce0e
e02c,907e,1,e02c
f3d5,f75b,0,f9a3
3e80,d293,1,52c7
2599,4c97,0,4c98
a8ea,ab51,1,24ce
f6cd,c03d,1,f6cd
0e0a,e601,1,6601
c78e,f81f,1,781f
a1cb,c6cc,0,c6cf
5847,bc1c,0,583f
10e1,ea81,1,6a81
5d7d,9318,0,5d7d
af1f,a4a3,0,b024
c9dc,07d5,0,c9dc
